10000.00	1702911664
10000.00	1702911695
9989.90	1702911853
10009.90	1702912375
10109.90	1702912394
9653.90	1702912412
8963.90	1702912420
8963.90	1702917444
8963.90	1702917444
8963.90	1702920730
8982.00	1702920737
8982.00	1702921089
8982.00	1702923841
8982.00	1702923915
8982.00	1702923915
8982.00	1702923928
8982.00	1702924509
8982.00	1702924625
8982.00	1702924639
8982.00	1702930310
8982.00	1702930569
8982.00	1702930610
8982.00	1702930979
8982.00	1702931017
8982.00	1702931250
8982.00	1702931283
8982.00	1702931338
8982.00	1702931412
8982.00	1702931441
8982.00	1702931467
8972.00	1702931483
8972.00	1702931503
8993.90	1702931508
8993.90	1702933254
8993.90	1702935524
8993.90	1702936440
8993.90	1702940615
8993.90	1702945505
8993.90	1702947064
8993.90	1702947072
8993.90	1702947129
8993.90	1702947132
8993.90	1702947289
8993.90	1702947321
8993.90	1702947345
8994.00	1702947355
8994.00	1702947400
8983.90	1702947417
8993.90	1702947439
8993.90	1702947487
8993.90	1702947494
8986.90	1702947509
8986.90	1702947534
8986.90	1702947637
8986.90	1702947644
8986.90	1702947697
8993.90	1702947705
8993.90	1702948449
8993.90	1702948461
8993.90	1702948546
8993.90	1702948552
8993.90	1702951031
8993.90	1702951031
8993.90	1702952927
8993.90	1702952938
8993.90	1702957906
8993.90	1702957911
8983.90	1702957920
9439.90	1702958096
9349.90	1702958102
9349.90	1702959280
9349.90	1702959286
9349.90	1702959363
9349.90	1702959373
9349.90	1702959373
9349.90	1702959376
9349.90	1702959379
